,column,method,type,count,%,first_outlier,index
0,price,fence_tukey_max,max,994,9.37,988000.0,"[8, 20, 35, 36, 45, 56, 58, 61, 62, 71, 83, 89, 95, 104, 107, 122, 136, 159, 160, 166, 168, 169, 171, 181, 182, 187, 201, 206, 207, 208, 209, 211, 212, 214, 215, 216, 222, 228, 230, 231, 233, 236, 241, 247, 248, 253, 263, 273, 280, 281, 283, 290, 292, 294, 298, 303, 306, 317, 320, 325, 355, 360, 365, 366, 370, 392, 400, 406, 413, 415, 452, 467, 476, 496, 498, 499, 507, 508, 513, 532, 539, 552, 576, 577, 582, 588, 592, 593, 601, 626, 636, 637, 639, 664, 670, 691, 720, 727, 741, 754, 759, 774, 783, 784, 797, 798, 806, 816, 833, 842, 855, 856, 889, 890, 901, 902, 913, 919, 923, 924, 926, 927, 946, 947, 951, 971, 995, 1006, 1010, 1022, 1030, 1048, 1054, 1057, 1059, 1060, 1061, 1062, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1071, 1072, 1078, 1082, 1084, 1086, 1096, 1106, 1136, 1147, 1159, 1192, 1208, 1209, 1222, 1297, 1298, 1299, 1300, 1319, 1320, 1327, 1328, 1339, 1343, 1367, 1377, 1378, 1379, 1391, 1451, 1468, 1469, 1494, 1495, 1501, 1512, 1513, 1518, 1519, 1520, 1529, 1532, 1533, 1536, 1654, 1655, 1656, 1665, 1666, 1683, 1685, 1686, 1708, 1709, 1734, 1735, 1736, 1737, 1741, 1759, 1815, 1816, 1817, 1818, 1819, 1820, 1821, 1822, 1836, 1837, 1838, 1840, 1855, 1856, 1857, 1858, 1866, 1867, 1874, 1890, 1891, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1979, 1980, 1981, 1982, 1983, 1984, 1992, 2013, 2014, 2015, 2021, 2033, 2043, 2044, 2045, 2046, 2047, 2048, 2069, 2070, 2089, 2102, 2103, 2122, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2257, 2258, 2259, 2260, 2276, 2290, 2291, 2305, 2331, 2332, 2333, 2334, 2335, 2336, 2364, 2365, 2366, 2381, 2389, 2401, 2402, 2408, 2419, 2467, 2468, 2469, 2470, 2471, 2472, 2473, 2474, 2475, 2476, 2497, 2498, 2499, 2500, 2510, 2521, 2522, 2523, 2529, 2537, 2543, 2544, 2648, 2649, 2650, 2651, 2652, 2653, 2654, 2655, 2656, 2657, 2658, 2659, 2660, 2661, 2662, 2663, 2664, 2665, 2666, 2667, 2712, 2713, 2720, 2723, 2736, 2741, 2756, 2757, 2758, 2766, 2784, 2846, 2847, 2848, 2849, 2850, 2851, 2852, 2853, 2854, 2865, 2866, 2867, 2868, 2869, 2898, 2921, 2926, 2927, 3032, 3033, 3034, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3042, 3043, 3044, 3045, 3046, 3047, 3048, 3049, 3069, 3070, 3071, 3120, 3123, 3185, 3186, 3187, 3188, 3189, 3190, 3191, 3192, 3193, 3234, 3244, 3248, 3256, 3265, 3266, 3338, 3339, 3340, 3341, 3342, 3343, 3344, 3345, 3346, 3347, 3348, 3349, 3350, 3351, 3352, 3353, 3354, 3355, 3356, 3357, 3358, 3359, 3360, 3361, 3362, 3386, 3387, 3392, 3406, 3407, 3427, 3442, 3443, 3446, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3594, 3595, 3596, 3609, 3619, 3629, 3642, 3684, 3685, 3686, 3687, 3688, 3689, 3690, 3749, 3753, 3767, 3789, 3924, 3925, 3926, 3927, 3928, 3929, 3930, 3931, 3932, 3933, 3934, 3935, 3936, 3937, 3938, 3939, 3967, 3968, 3969, 3970, 3971, 3972, 3985, 4006, 4007, 4008, 4009, 4015, 4025, 4078, 4079, 4080, 4081, 4082, 4083, 4084, 4085, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 4154, 4168, 4236, 4237, 4238, 4239, 4240, 4241, 4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4251, 4252, 4273, 4318, 4398, 4399, 4400, 4401, 4402, 4403, 4404, 4405, 4406, 4455, 4456, 4457, 4458, 4459, 4460, 4461, 4462, 4463, 4484, 4494, 4496, 4507, 4512, 4513, 4514, 4566, 4567, 4568, 4569, 4596, 4692, 4693, 4694, 4695, 4696, 4697, 4716, 4717, 4723, 4724, 4725, 4732, 4734, 4735, 4790, 4791, 4792, 4793, 4794, 4795, 4796, 4797, 4839, 4840, 4841, 4842, 4843, 4848, 4864, 4874, 4919, 4920, 4921, 4922, 4967, 4968, 4969, 4970, 4971, 4979, 4985, 4994, 5046, 5047, 5082, 5083, 5084, 5085, 5086, 5100, 5107, 5108, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5182, 5183, 5184, 5185, 5194, 5254, 5255, 5256, 5257, 5258, 5259, 5260, 5261, 5262, 5263, 5281, 5282, 5283, 5299, 5308, 5365, 5366, 5368, 5406, 5407, 5417, 5422, 5439, 5440, 5446, 5484, 5489, 5502, 5518, 5542, 5543, 5634, 5635, 5636, 5657, 5658, 5659, 5660, 5770, 5771, 5772, 5773, 5774, 5775, 5776, 5779, 5780, 5791, 5799, 5800, 5804, 5836, 5837, 5838, 5857, 5927, 5939, 5955, 6023, 6024, 6025, 6026, 6027, 6028, 6029, 6030, 6055, 6056, 6057, 6067, 6100, 6130, 6131, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6226, 6227, 6234, 6244, 6245, 6246, 6247, 6299, 6300, 6301, 6302, 6303, 6327, 6328, 6329, 6391, 6394, 6406, 6488, 6489, 6491, 6492, 6589, 6590, 6591, 6592, 6593, 6594, 6595, 6641, 6642, 6652, 6653, 6674, 6709, 6710, 6711, 6712, 6716, 6717, 6718, 6733, 6833, 6834, 6835, 6836, 6837, 6838, 6839, 6840, 6848, 6862, 6876, 6894, 6895, 6896, 6925, 6926, 7023, 7039, 7073, 7074, 7075, 7076, 7077, 7078, 7090, 7106, 7107, 7132, 7248, 7249, 7250, 7251, 7252, 7253, 7265, 7337, 7338, 7339, 7352, 7353, 7384, 7385, 7386, 7387, 7388, 7404, 7460, 7550, 7551, 7552, 7553, 7554, 7555, 7556, 7557, 7558, 7559, 7560, 7561, 7562, 7567, 7604, 7614, 7621, 7636, 7692, 7693, 7698, 7757, 7758, 7768, 7821, 7822, 7823, 7875, 7986, 7987, 7988, 7989, 8006, 8044, 8053, 8067, 8068, 8069, 8107, 8108, 8109, 8110, 8111, 8112, 8132, 8260, 8261, 8262, 8263, 8264, 8265, 8266, 8308, 8380, 8381, 8382, 8383, 8384, 8470, 8471, 8472, 8493, 8538, 8539, 8540, 8560, 8579, 8664, 8665, 8666, 8667, 8668, 8669, 8670, 8671, 8721, 8722, 8748, 8749, 8750, 8751, 8757, 8814, 8822, 8825, 8878, 8879, 8880, 8881, 8882, 8895, 8923, 8980, 9002, 9071, 9072, 9080, 9081, 9087, 9116, 9117, 9140, 9151, 9220, 9221, 9222, 9226, 9271, 9272, 9273, 9274, 9275, 9276, 9277, 9278, 9307, 9308, 9315, 9322, 9339, 9341, 9342, 9383, 9384, 9385, 9425, 9440, 9481, 9532, 9533, 9555, 9561, 9570, 9589, 9599, 9600, 9620, 9622, 9624, 9660, 9661, 9662, 9663, 9707, 9745, 9746, 9751, 9752, 9772, 9816, 9817, 9846, 9906, 9907, 9950, 10001, 10038, 10039, 10040, 10041, 10061, 10066, 10106, 10107, 10108, 10109, 10111, 10143, 10169, 10170, 10172, 10182, 10209, 10215, 10223, 10245, 10251, 10270, 10300, 10357, 10377, 10398, 10452, 10453, 10486, 10487, 10545, 10549, 10581, 10584, 10604]"
1,rooms_number,fence_tukey_max,max,246,2.32,8.0,"[16, 18, 19, 35, 36, 45, 56, 71, 81, 83, 86, 94, 103, 104, 112, 114, 117, 127, 132, 136, 142, 160, 165, 179, 181, 187, 201, 209, 214, 218, 222, 228, 231, 232, 234, 236, 241, 263, 265, 268, 273, 278, 280, 281, 288, 292, 294, 306, 315, 320, 325, 338, 340, 341, 349, 359, 360, 364, 365, 366, 370, 384, 385, 386, 391, 400, 401, 406, 422, 432, 441, 463, 466, 467, 471, 474, 475, 492, 493, 495, 508, 512, 513, 526, 528, 531, 532, 577, 587, 588, 601, 603, 614, 626, 634, 636, 637, 639, 649, 664, 670, 682, 691, 696, 704, 707, 719, 720, 728, 733, 737, 740, 741, 742, 746, 756, 758, 763, 768, 769, 774, 784, 798, 804, 806, 816, 831, 833, 842, 866, 871, 890, 900, 901, 902, 906, 908, 913, 915, 917, 921, 924, 927, 934, 936, 947, 950, 957, 970, 971, 978, 988, 995, 1003, 1010, 1022, 1029, 1030, 1048, 1052, 1054, 1055, 1058, 1060, 1062, 1063, 1065, 1066, 1067, 1068, 1069, 1071, 1114, 1287, 1367, 1378, 1520, 1528, 1669, 1686, 1709, 1952, 2066, 2229, 2259, 2318, 2326, 2457, 2465, 2484, 2521, 2522, 2537, 2619, 2643, 2660, 2736, 2741, 2758, 2760, 2805, 2886, 2952, 2967, 3193, 3208, 3209, 3234, 3241, 3452, 3529, 3595, 3619, 3708, 3915, 3970, 4065, 4123, 4236, 4250, 4376, 4403, 4459, 4512, 4513, 4542, 4728, 4746, 4792, 4874, 4982, 5108, 5131, 5245, 5255, 5259, 6406, 8069, 8320, 8814, 8881, 9117, 9198, 9598, 10455, 10604]"
2,area,fence_tukey_max,max,686,6.47,410.0,"[8, 20, 23, 35, 36, 45, 56, 62, 71, 80, 83, 92, 103, 104, 107, 109, 117, 127, 132, 136, 137, 142, 160, 165, 168, 169, 180, 182, 184, 193, 194, 195, 199, 200, 201, 208, 209, 211, 212, 214, 215, 216, 222, 225, 228, 231, 232, 233, 234, 236, 241, 259, 268, 272, 273, 278, 280, 283, 288, 292, 294, 296, 298, 303, 306, 309, 315, 317, 320, 321, 325, 332, 338, 340, 355, 357, 359, 360, 364, 365, 368, 370, 380, 385, 392, 400, 406, 408, 415, 420, 422, 428, 444, 452, 463, 465, 466, 467, 476, 492, 499, 504, 508, 512, 513, 528, 532, 552, 555, 568, 576, 593, 600, 605, 614, 626, 627, 636, 637, 639, 649, 653, 664, 665, 667, 670, 672, 682, 691, 692, 704, 719, 720, 721, 727, 728, 733, 737, 740, 741, 744, 746, 768, 769, 774, 784, 797, 798, 805, 806, 808, 815, 816, 817, 822, 831, 832, 833, 841, 861, 866, 871, 875, 889, 890, 898, 900, 902, 906, 917, 919, 921, 923, 924, 927, 932, 935, 937, 943, 947, 950, 951, 960, 967, 971, 978, 992, 995, 1005, 1010, 1015, 1021, 1022, 1029, 1030, 1032, 1038, 1042, 1048, 1054, 1059, 1060, 1061, 1062, 1063, 1064, 1065, 1066, 1067, 1068, 1069, 1071, 1072, 1078, 1084, 1088, 1101, 1114, 1122, 1147, 1152, 1159, 1161, 1192, 1208, 1209, 1222, 1287, 1298, 1300, 1319, 1328, 1339, 1343, 1346, 1358, 1367, 1373, 1378, 1394, 1425, 1437, 1446, 1451, 1469, 1494, 1513, 1518, 1520, 1529, 1531, 1532, 1536, 1597, 1601, 1631, 1632, 1643, 1650, 1652, 1653, 1654, 1656, 1665, 1666, 1669, 1683, 1686, 1694, 1709, 1733, 1735, 1736, 1737, 1756, 1759, 1815, 1820, 1821, 1822, 1826, 1834, 1838, 1840, 1858, 1867, 1874, 1890, 1891, 1905, 1951, 1952, 1956, 1959, 1960, 1977, 1980, 1981, 1982, 1983, 1984, 1992, 2014, 2015, 2033, 2045, 2046, 2047, 2048, 2069, 2070, 2089, 2095, 2103, 2179, 2212, 2213, 2226, 2229, 2230, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2240, 2242, 2243, 2244, 2259, 2260, 2276, 2291, 2326, 2334, 2335, 2336, 2357, 2364, 2366, 2381, 2389, 2419, 2457, 2463, 2465, 2467, 2468, 2469, 2470, 2472, 2473, 2474, 2475, 2476, 2500, 2523, 2537, 2619, 2626, 2643, 2647, 2650, 2653, 2655, 2657, 2658, 2660, 2661, 2662, 2664, 2665, 2666, 2667, 2717, 2720, 2723, 2736, 2741, 2758, 2766, 2838, 2844, 2845, 2846, 2851, 2852, 2854, 2858, 2869, 2909, 2913, 2926, 2952, 3000, 3003, 3007, 3008, 3038, 3040, 3041, 3042, 3043, 3045, 3047, 3048, 3049, 3071, 3123, 3153, 3180, 3184, 3186, 3188, 3189, 3190, 3191, 3193, 3208, 3226, 3227, 3230, 3232, 3233, 3234, 3248, 3265, 3324, 3327, 3328, 3332, 3336, 3340, 3341, 3345, 3346, 3347, 3348, 3349, 3350, 3352, 3354, 3355, 3356, 3357, 3358, 3362, 3387, 3392, 3406, 3407, 3419, 3441, 3446, 3519, 3529, 3530, 3532, 3534, 3535, 3536, 3538, 3569, 3592, 3595, 3596, 3609, 3619, 3629, 3642, 3679, 3681, 3684, 3686, 3687, 3688, 3689, 3690, 3708, 3766, 3767, 3789, 3844, 3886, 3899, 3911, 3915, 3919, 3920, 3923, 3924, 3927, 3929, 3931, 3934, 3935, 3936, 3937, 3938, 3939, 3963, 3964, 3965, 3967, 3968, 3970, 3971, 3972, 3985, 4005, 4006, 4007, 4009, 4015, 4020, 4025, 4056, 4072, 4075, 4077, 4080, 4081, 4082, 4083, 4084, 4085, 4121, 4122, 4123, 4133, 4140, 4154, 4165, 4168, 4223, 4225, 4233, 4236, 4237, 4238, 4239, 4240, 4241, 4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4252, 4269, 4342, 4385, 4388, 4393, 4399, 4401, 4403, 4405, 4406, 4432, 4453, 4454, 4459, 4461, 4462, 4464, 4507, 4512, 4513, 4564, 4566, 4569, 4668, 4679, 4683, 4686, 4691, 4694, 4695, 4696, 4697, 4717, 4722, 4723, 4724, 4734, 4735, 4740, 4746, 4772, 4782, 4786, 4790, 4791, 4792, 4793, 4794, 4795, 4796, 4797, 4843, 4848, 4864, 4874, 4915, 4916, 4919, 4921, 4922, 4950, 4967, 4971, 4982, 4985, 4994, 5028, 5046, 5047, 5082, 5086, 5100, 5107, 5108, 5126, 5130, 5131, 5139, 5140, 5143, 5183, 5184, 5185, 5194, 5242, 5245, 5252, 5254, 5255, 5256, 5257, 5258, 5259, 5260, 5262, 5263, 5282, 5283, 5308, 5352, 5366, 5800, 5927, 6494, 6638, 6653, 6848, 7339, 7352, 7387, 7425, 7552, 7614, 7976, 8069, 8263, 8266, 8384, 8663, 8814, 8881, 9117, 9226, 9278, 9620, 9622, 9998, 10245, 10357, 10510, 10604]"
