price,postcode,property_subtype,rooms_number,area,terrace_area,garden_area,land_surface,facades_number,postcode_median_price,building_state_median_price,property_subtype_median_price,building_property_subtype_median_facades,property_subtype_median_facades,house_is_False,house_is_True,equipped_kitchen_has_False,equipped_kitchen_has_True,furnished_False,furnished_True,open_fire_False,open_fire_True,terrace_False,terrace_True,garden_False,garden_True,swimming_pool_has_False,swimming_pool_has_True,region_B,region_F,region_W,building_state_agg_good,building_state_agg_renovated,building_state_agg_to_renovate
349000.0,0.6405693950177935,0.1,0.16666666666666666,0.695804886878171,,0.0,0.49703671965075497,0.6666666666666667,0.21556420233463036,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
445000.0,0.9219306049822064,0.7000000000000001,0.6666666666666666,0.9062607716367197,0.42249330929982964,0.0,0.635619755921207,0.6666666666666667,0.15330739299610896,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
659000.0,0.7784697508896796,0.6000000000000001,0.5,0.84460719436632,0.45649642584121747,0.0,0.579235139554239,0.6666666666666667,0.21902723735408564,0.8888888888888888,0.8728673728332899,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
795000.0,0.7784697508896796,0.6000000000000001,0.8333333333333333,0.8738794429641679,0.5543035655301016,0.0,0.5638994375234948,0.6666666666666667,0.21902723735408564,0.8888888888888888,0.8728673728332899,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
225000.0,0.4082517793594306,0.1,0.6666666666666666,0.8779936670917983,0.7635318827190164,0.0,0.690115099502168,0.6666666666666667,0.19260700389105057,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
275000.0,0.5593861209964412,0.1,0.5,0.8173742283235395,,0.0,0.6139869986636997,0.6666666666666667,0.07392918287937744,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
520000.0,0.005560498220640572,0.7000000000000001,0.6666666666666666,0.8119392711451645,,0.0,0.5079502711537137,0.6666666666666667,0.4171206225680934,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
690000.0,0.007784697508896807,0.7000000000000001,0.8333333333333333,0.8427015150833244,0.4904995423826053,0.0,0.742875079357512,0.6666666666666667,0.1634241245136187,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
925000.0,0.016681494661921717,0.1,0.5,0.8329174784532769,0.47102000553859197,0.0028250000000000003,0.6574922062504803,0.6666666666666667,0.43190661478599224,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
160000.0,0.45262455516014233,0.5,0.6666666666666666,0.8119392711451645,,0.005,0.7061343722855792,0.6666666666666667,0.10428015564202335,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
199000.0,0.6650355871886121,0.7000000000000001,0.6666666666666666,0.9645041417463238,0.3348180260229075,0.00395,0.6755558813635046,0.6666666666666667,0.10486381322957199,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
399000.0,0.908585409252669,0.1,0.6666666666666666,0.9119229380756719,,0.0,0.5970405447235719,0.6666666666666667,0.21322957198443582,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
649000.0,0.7784697508896796,0.6000000000000001,0.6666666666666666,0.8688386597035136,,0.0,0.6448524905420588,0.6666666666666667,0.21902723735408564,1.0,0.8728673728332899,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
980000.0,0.016681494661921717,0.5,0.6666666666666666,0.9188017661072727,0.49647608292044715,0.007500000000000001,0.7187740879940008,0.6666666666666667,0.43190661478599224,0.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
375000.0,0.3669928825622776,0.1,0.6666666666666666,0.8119392711451645,,0.005,0.7010286510051267,0.6666666666666667,0.10894941634241247,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
250000.0,0.8196174377224199,0.1,0.6666666666666666,0.8388399321370945,0.3168699819748722,0.0,0.5488113441307241,0.6666666666666667,0.13813229571984437,0.8888888888888888,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
398000.0,0.0022241992882562345,0.1,0.0,0.7887489388627447,,0.0,0.46931109177561964,0.6666666666666667,0.19416342412451365,0.8888888888888888,0.6481688507371262,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
469000.0,0.010008896797153027,0.7000000000000001,0.0,0.8152163229780882,,0.0,0.5256957081425877,0.6666666666666667,0.13035019455252916,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
550000.0,0.016681494661921717,0.7000000000000001,0.5,0.856607480830492,0.37865566766136854,0.0,0.6269137153284059,0.6666666666666667,0.43190661478599224,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
