"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",181500,48
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2016","Maisons avec 4 ou plus de façades (type ouvert)",,16
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2016","Appartements",,7
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",190000,64
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",212500,37
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2017","Maisons avec 4 ou plus de façades (type ouvert)",323500,17
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2017","Appartements",,2
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",236250,54
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",220000,41
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2018","Maisons avec 4 ou plus de façades (type ouvert)",295000,21
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2018","Appartements",,2
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",255000,62
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",235247.5,76
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2019","Maisons avec 4 ou plus de façades (type ouvert)",342500,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2019","Appartements",,5
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",249000,95
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2020","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Lendelede","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",110000,408
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2010","Maisons avec 4 ou plus de façades (type ouvert)",267500,49
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2010","Appartements",144000,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",120000,457
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",120000,418
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2011","Maisons avec 4 ou plus de façades (type ouvert)",255000,54
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2011","Appartements",138000,24
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",130000,472
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",127500,355
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2012","Maisons avec 4 ou plus de façades (type ouvert)",280000,38
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2012","Appartements",125000,28
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",135500,393
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",125000,360
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2013","Maisons avec 4 ou plus de façades (type ouvert)",255000,27
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2013","Appartements",153750,28
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",130000,387
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",135000,387
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2014","Maisons avec 4 ou plus de façades (type ouvert)",280000,51
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2014","Appartements",162500,30
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",147000,438
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",120000,317
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2015","Maisons avec 4 ou plus de façades (type ouvert)",317500,36
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2015","Appartements",,26
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",130000,353
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",130000,395
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2016","Maisons avec 4 ou plus de façades (type ouvert)",282500,29
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2016","Appartements",137500,29
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",135000,424
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",132500,393
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2017","Maisons avec 4 ou plus de façades (type ouvert)",290000,42
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2017","Appartements",145000,36
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",141000,435
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",150000,411
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2018","Maisons avec 4 ou plus de façades (type ouvert)",280000,52
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2018","Appartements",152500,31
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",155000,463
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",156000,514
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2019","Maisons avec 4 ou plus de façades (type ouvert)",280000,49
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2019","Appartements",150000,25
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",165000,563
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2020","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Menin","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",160000,193
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2010","Maisons avec 4 ou plus de façades (type ouvert)",300000,72
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2010","Appartements",170000,31
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",181000,265
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",180000,207
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2011","Maisons avec 4 ou plus de façades (type ouvert)",300000,56
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2011","Appartements",170000,51
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",190000,263
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",190000,165
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2012","Maisons avec 4 ou plus de façades (type ouvert)",320000,63
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2012","Appartements",169000,51
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",212500,228
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",175000,212
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2013","Maisons avec 4 ou plus de façades (type ouvert)",282500,80
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2013","Appartements",205000,51
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",200000,292
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",185000,255
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2014","Maisons avec 4 ou plus de façades (type ouvert)",315000,80
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2014","Appartements",165000,47
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",209000,335
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",194000,186
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2015","Maisons avec 4 ou plus de façades (type ouvert)",290000,68
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2015","Appartements",200000,78
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",222500,254
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",187000,214
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2016","Maisons avec 4 ou plus de façades (type ouvert)",315000,97
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2016","Appartements",218000,65
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",215000,311
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",200200,248
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2017","Maisons avec 4 ou plus de façades (type ouvert)",315000,105
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2017","Appartements",208000,49
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",230000,353
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",210000,241
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2018","Maisons avec 4 ou plus de façades (type ouvert)",302500,101
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2018","Appartements",180000,44
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",245000,342
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",215000,306
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2019","Maisons avec 4 ou plus de façades (type ouvert)",340000,124
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2019","Appartements",190000,71
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",250000,430
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2020","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Waregem","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",156250,241
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2010","Maisons avec 4 ou plus de façades (type ouvert)",235000,31
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2010","Appartements",,12
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",160000,272
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",150000,239
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2011","Maisons avec 4 ou plus de façades (type ouvert)",235000,50
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2011","Appartements",134000,16
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",165000,289
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",160000,268
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2012","Maisons avec 4 ou plus de façades (type ouvert)",280000,35
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2012","Appartements",140000,17
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",168000,303
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",170000,247
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2013","Maisons avec 4 ou plus de façades (type ouvert)",272500,47
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2013","Appartements",147500,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",177750,294
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",165000,268
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2014","Maisons avec 4 ou plus de façades (type ouvert)",285000,62
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2014","Appartements",133000,21
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",181000,330
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",165000,203
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2015","Maisons avec 4 ou plus de façades (type ouvert)",,31
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2015","Appartements",,22
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",177000,234
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",170000,249
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2016","Maisons avec 4 ou plus de façades (type ouvert)",277500,56
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2016","Appartements",187500,22
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",177750,305
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",190000,267
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2017","Maisons avec 4 ou plus de façades (type ouvert)",302500,55
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2017","Appartements",167000,23
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",199750,322
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",181250,285
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2018","Maisons avec 4 ou plus de façades (type ouvert)",303500,55
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2018","Appartements",160000,27
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",197500,340
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",195000,366
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2019","Maisons avec 4 ou plus de façades (type ouvert)",337500,62
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2019","Appartements",159750,30
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",209500,428
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2020","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Wevelgem","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",150000,167
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2010","Maisons avec 4 ou plus de façades (type ouvert)",250000,49
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2010","Appartements",147500,21
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",165000,216
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",155400,170
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2011","Maisons avec 4 ou plus de façades (type ouvert)",272500,56
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2011","Appartements",,15
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",170000,226
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",167500,174
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2012","Maisons avec 4 ou plus de façades (type ouvert)",275000,52
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2012","Appartements",,10
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",178000,226
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",171250,152
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2013","Maisons avec 4 ou plus de façades (type ouvert)",256500,47
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2013","Appartements",170000,18
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",182000,199
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",165000,192
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2014","Maisons avec 4 ou plus de façades (type ouvert)",260000,64
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2014","Appartements",155900,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",180000,256
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",160000,175
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2015","Maisons avec 4 ou plus de façades (type ouvert)",302500,53
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2015","Appartements",,11
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",174000,228
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",170000,185
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2016","Maisons avec 4 ou plus de façades (type ouvert)",296600,51
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2016","Appartements",165500,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",180000,236
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",180000,215
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2017","Maisons avec 4 ou plus de façades (type ouvert)",304500,64
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2017","Appartements",187500,28
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",197000,279
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",197000,194
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2018","Maisons avec 4 ou plus de façades (type ouvert)",297500,75
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2018","Appartements",176500,19
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",212500,269
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",195000,279
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2019","Maisons avec 4 ou plus de façades (type ouvert)",300000,83
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2019","Appartements",188750,24
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",215000,362
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2020","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Zwevegem","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,11
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2010","Maisons avec 4 ou plus de façades (type ouvert)",,9
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2010","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",162500,20
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,14
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2011","Maisons avec 4 ou plus de façades (type ouvert)",,5
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2011","Appartements",,
"Région flamande","Province de Flandre occidentale","Arrondissement de Courtrai","Espierres-Helchin","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",140000,19
