"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2020","Appartements",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Aartselaar","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",195000,2582
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2010","Maisons avec 4 ou plus de façades (type ouvert)",370000,79
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2010","Appartements",128000,4001
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",199000,2661
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",200000,2737
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2011","Maisons avec 4 ou plus de façades (type ouvert)",445000,92
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2011","Appartements",135750,4289
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",205000,2829
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",205000,2442
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2012","Maisons avec 4 ou plus de façades (type ouvert)",375000,69
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2012","Appartements",135000,4172
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",209000,2511
