,Unnamed: 0,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude,facades_number
36,152,6,1090,True,APARTMENT_BLOCK,700000.0,8.0,300.0,True,False,False,True,0.0,False,0.0,104.0,False,B,to_renovate,151906.67,50.88,4.33,0.0
37,162,6,1140,True,APARTMENT_BLOCK,795000.0,7.0,325.0,False,False,False,True,0.0,True,40.0,152.0,False,B,to_renovate,167132.84,50.87,4.4,0.0
38,175,6,1000,True,APARTMENT_BLOCK,695000.0,4.0,180.0,True,False,False,True,3.0,False,0.0,0.0,False,B,good,188165.24,50.85,4.35,0.0
39,181,6,8530,True,APARTMENT_BLOCK,228000.0,2.0,99.0,False,False,False,False,0.0,False,0.0,33857.0,False,F,good,150946.71,50.83,3.34,0.0
40,182,6,1150,True,APARTMENT_BLOCK,1880000.0,7.0,450.0,True,False,True,True,93.0,True,562.0,0.0,False,B,good,275544.13,50.83,4.44,0.0
41,183,6,4800,True,APARTMENT_BLOCK,195000.0,5.0,165.0,True,False,False,True,40.0,True,80.0,250.0,False,W,to_renovate,119708.89,50.59,5.86,0.0
42,190,6,4500,True,APARTMENT_BLOCK,199500.0,2.0,350.0,True,False,False,True,0.0,False,0.0,287.0,False,W,good,131629.41,50.52,5.24,0.0
43,199,6,1180,True,APARTMENT_BLOCK,750000.0,3.0,220.0,True,False,False,False,0.0,False,0.0,290.0,False,B,good,235984.43,50.8,4.34,0.0
44,200,6,1200,True,APARTMENT_BLOCK,775000.0,5.0,220.0,False,False,False,True,40.0,False,0.0,185.0,False,B,good,242944.1,50.85,4.43,0.0
45,201,6,1000,True,APARTMENT_BLOCK,1150000.0,4.0,230.0,False,True,False,False,0.0,False,0.0,0.0,False,B,good,188165.24,50.85,4.35,0.0
46,208,6,4000,True,APARTMENT_BLOCK,950000.0,14.0,600.0,True,False,False,True,0.0,False,0.0,0.0,False,W,renovated,120694.32,50.65,5.57,0.0
47,223,6,5000,True,APARTMENT_BLOCK,295000.0,7.0,250.0,True,False,False,True,0.0,True,195.0,380.0,False,W,good,151615.67,50.46,4.85,0.0
48,228,6,1170,True,APARTMENT_BLOCK,1795000.0,9.0,603.0,False,False,False,True,35.0,True,241.0,504.0,False,B,good,214295.23,50.8,4.42,0.0
49,235,6,1070,True,APARTMENT_BLOCK,399000.0,5.0,240.0,True,False,False,False,0.0,False,0.0,0.0,False,B,to_renovate,138887.74,50.84,4.31,0.0
50,236,6,3620,True,APARTMENT_BLOCK,264000.0,2.0,108.0,True,True,False,False,0.0,False,0.0,108.0,False,F,good,163237.25,50.89,5.65,0.0
51,238,6,9600,True,APARTMENT_BLOCK,900000.0,10.0,461.0,True,False,False,False,0.0,False,0.0,690.0,False,F,good,136832.46,50.75,3.6,0.0
52,239,6,7130,True,APARTMENT_BLOCK,140000.0,2.0,162.0,True,False,False,True,0.0,False,0.0,90.0,False,W,good,121123.12,50.41,4.17,0.0
53,243,6,4800,True,APARTMENT_BLOCK,212500.0,7.0,196.0,True,False,False,False,0.0,False,0.0,60.0,False,W,good,119708.89,50.59,5.86,0.0
54,244,6,4000,True,APARTMENT_BLOCK,229000.0,2.0,202.0,True,False,False,False,0.0,False,0.0,75.0,False,W,good,120694.32,50.65,5.57,0.0
55,248,6,7130,True,APARTMENT_BLOCK,270000.0,4.0,262.0,True,False,False,True,0.0,False,0.0,214.0,False,W,good,121123.12,50.41,4.17,0.0
56,249,6,5060,True,APARTMENT_BLOCK,275000.0,4.0,240.0,True,False,False,False,0.0,False,0.0,250.0,False,W,to_renovate,116802.85,50.44,4.62,0.0
57,258,6,8370,True,APARTMENT_BLOCK,860000.0,5.0,252.0,True,False,False,True,0.0,True,100.0,204.0,False,F,renovated,160565.23,51.32,3.13,0.0
58,265,6,1000,True,APARTMENT_BLOCK,995000.0,5.0,330.0,True,True,False,True,10.0,False,0.0,178.0,False,B,good,188165.24,50.85,4.35,0.0
59,268,6,1200,True,APARTMENT_BLOCK,1500000.0,10.0,600.0,True,False,False,True,20.0,True,250.0,700.0,False,B,good,242944.1,50.85,4.43,0.0
60,270,6,4000,True,APARTMENT_BLOCK,215000.0,4.0,168.0,False,False,False,True,50.0,False,0.0,120.0,False,W,good,120694.32,50.65,5.57,0.0
61,271,6,1070,True,APARTMENT_BLOCK,365000.0,4.0,145.0,False,False,False,False,0.0,False,0.0,40.0,False,B,good,138887.74,50.84,4.31,0.0
62,272,6,1080,True,APARTMENT_BLOCK,429000.0,4.0,202.0,True,False,False,True,0.0,True,22.0,93.0,False,B,good,155348.19,50.85,4.32,0.0
63,273,6,4800,True,APARTMENT_BLOCK,575000.0,10.0,500.0,True,False,False,False,0.0,False,0.0,216.0,False,W,renovated,119708.89,50.59,5.86,0.0
64,275,6,1050,True,APARTMENT_BLOCK,1390000.0,5.0,390.0,True,False,False,True,50.0,False,0.0,0.0,False,B,good,245049.04,50.82,4.38,0.0
65,283,6,4000,True,APARTMENT_BLOCK,259000.0,4.0,190.0,True,False,False,True,0.0,False,0.0,577.0,False,W,good,120694.32,50.65,5.57,0.0
66,296,6,5300,True,APARTMENT_BLOCK,340000.0,3.0,195.0,True,False,False,True,12.0,False,0.0,151.0,False,W,good,135774.22,50.49,5.1,0.0
67,298,6,1435,True,APARTMENT_BLOCK,395000.0,3.0,180.0,True,False,False,True,74.0,False,0.0,575.0,False,W,good,156130.12,50.64,4.61,0.0
68,301,6,1050,True,APARTMENT_BLOCK,800000.0,4.0,415.0,True,False,False,False,0.0,False,0.0,162.0,False,B,to_renovate,245049.04,50.82,4.38,0.0
69,302,6,1070,True,APARTMENT_BLOCK,1300000.0,9.0,400.0,True,False,False,False,0.0,False,0.0,125.0,False,B,good,138887.74,50.84,4.31,0.0
70,303,6,1050,True,APARTMENT_BLOCK,2200000.0,7.0,520.0,True,False,False,True,0.0,True,220.0,364.0,False,B,good,245049.04,50.82,4.38,0.0
71,305,6,1480,True,APARTMENT_BLOCK,560000.0,6.0,500.0,True,False,False,True,80.0,True,1543.0,1543.0,False,W,good,158399.23,50.69,4.2,0.0
72,307,6,2650,True,APARTMENT_BLOCK,469000.0,4.0,265.0,False,False,False,False,0.0,False,0.0,210.0,False,F,good,171494.01,51.16,4.44,0.0
73,315,6,7130,True,APARTMENT_BLOCK,275000.0,4.0,190.0,True,False,False,False,0.0,False,0.0,74.0,False,W,good,121123.12,50.41,4.17,0.0
74,316,6,4800,True,APARTMENT_BLOCK,100000.0,3.0,141.0,False,False,False,False,0.0,False,0.0,170.0,False,W,to_renovate,119708.89,50.59,5.86,0.0
75,321,6,9400,True,APARTMENT_BLOCK,649000.0,6.0,504.0,True,False,False,True,14.0,False,0.0,0.0,False,F,good,187750.2,50.84,4.02,0.0
76,322,6,1080,True,APARTMENT_BLOCK,650000.0,6.0,456.0,True,False,False,True,0.0,False,0.0,0.0,False,B,to_renovate,155348.19,50.85,4.32,0.0
77,329,6,6220,True,APARTMENT_BLOCK,149000.0,0.0,150.0,True,False,False,False,0.0,False,0.0,0.0,False,W,good,91631.6,50.47,4.54,0.0
78,333,6,4000,True,APARTMENT_BLOCK,745000.0,6.0,436.0,True,False,False,False,0.0,False,0.0,4362.0,False,W,good,120694.32,50.65,5.57,0.0
79,335,6,6220,True,APARTMENT_BLOCK,170000.0,0.0,270.0,True,False,False,False,0.0,False,0.0,0.0,False,W,to_renovate,91631.6,50.47,4.54,0.0
80,338,6,1470,True,APARTMENT_BLOCK,375000.0,6.0,250.0,True,False,False,True,80.0,False,0.0,308.0,False,W,good,28577.59,50.61,4.45,0.0
81,342,6,1000,True,APARTMENT_BLOCK,999000.0,3.0,112.0,True,True,False,False,0.0,False,0.0,35.0,False,B,good,188165.24,50.85,4.35,0.0
82,343,6,1200,True,APARTMENT_BLOCK,1195000.0,5.0,302.0,True,False,False,True,10.0,False,0.0,0.0,False,B,good,242944.1,50.85,4.43,0.0
83,350,6,2560,True,APARTMENT_BLOCK,1320000.0,12.0,464.0,True,False,False,True,0.0,False,0.0,642.0,False,F,renovated,185509.32,51.16,4.67,0.0
84,351,6,4500,True,APARTMENT_BLOCK,195000.0,3.0,264.0,True,True,False,False,0.0,False,0.0,88.0,False,W,to_renovate,131629.41,50.52,5.24,0.0
85,357,6,1180,True,APARTMENT_BLOCK,3650000.0,3.0,1260.0,True,False,False,True,0.0,False,0.0,820.0,False,B,good,235984.43,50.8,4.34,0.0
86,362,6,1180,True,APARTMENT_BLOCK,3700000.0,0.0,1790.0,False,False,False,False,0.0,False,0.0,0.0,False,B,good,235984.43,50.8,4.34,0.0
87,366,6,5000,True,APARTMENT_BLOCK,650000.0,12.0,254.0,True,False,False,False,0.0,False,0.0,0.0,False,W,good,151615.67,50.46,4.85,0.0
88,370,6,6700,True,APARTMENT_BLOCK,390000.0,3.0,162.0,True,False,False,False,0.0,False,0.0,0.0,False,W,good,154647.7,49.68,5.81,0.0
89,375,6,1030,True,APARTMENT_BLOCK,693000.0,3.0,245.0,False,False,False,False,0.0,False,0.0,0.0,False,B,good,175825.22,50.87,4.37,0.0
90,381,6,1070,True,APARTMENT_BLOCK,530000.0,6.0,297.0,True,False,False,False,0.0,True,80.0,193.0,False,B,to_renovate,138887.74,50.84,4.31,0.0
91,382,6,1080,True,APARTMENT_BLOCK,1490000.0,10.0,700.0,False,False,False,True,0.0,False,0.0,0.0,False,B,good,155348.19,50.85,4.32,0.0
92,387,6,1480,True,APARTMENT_BLOCK,575000.0,24.0,850.0,True,False,False,True,80.0,False,0.0,500.0,False,W,good,158399.23,50.69,4.2,0.0
93,389,6,9060,True,APARTMENT_BLOCK,950000.0,12.0,510.0,False,False,False,False,0.0,False,0.0,400.0,False,F,good,134479.76,51.2,3.81,0.0
94,391,6,1030,True,APARTMENT_BLOCK,395000.0,4.0,200.0,False,False,False,True,10.0,True,130.0,220.0,False,B,to_renovate,175825.22,50.87,4.37,0.0
95,392,6,1060,True,APARTMENT_BLOCK,2950000.0,9.0,700.0,True,False,False,True,60.0,True,60.0,240.0,False,B,good,182463.35,50.83,4.35,0.0
96,398,6,1050,True,APARTMENT_BLOCK,985000.0,5.0,275.0,True,False,False,True,14.0,False,0.0,108.0,False,B,good,245049.04,50.82,4.38,0.0
97,400,6,1000,True,APARTMENT_BLOCK,1975000.0,10.0,716.0,True,True,False,True,15.0,False,0.0,0.0,False,B,good,188165.24,50.85,4.35,0.0
98,404,6,9280,True,APARTMENT_BLOCK,580000.0,5.0,200.0,False,False,False,True,0.0,False,0.0,370.0,False,F,good,158971.31,51.0,4.13,0.0
99,412,6,3090,True,APARTMENT_BLOCK,3540000.0,2.0,227.0,True,False,False,True,0.0,False,0.0,585.0,False,F,good,210530.46,50.77,4.54,0.0
100,421,6,1030,True,APARTMENT_BLOCK,523000.0,3.0,189.0,False,False,False,False,0.0,False,0.0,0.0,False,B,good,175825.22,50.87,4.37,0.0
101,444,6,6180,True,APARTMENT_BLOCK,450000.0,10.0,400.0,True,False,False,True,0.0,False,0.0,1100.0,False,W,good,83617.1,50.46,4.38,0.0
102,446,6,1050,True,APARTMENT_BLOCK,765000.0,5.0,185.0,True,False,False,False,0.0,False,0.0,77.0,False,B,to_renovate,245049.04,50.82,4.38,0.0
103,451,6,6000,True,APARTMENT_BLOCK,328000.0,10.0,900.0,True,False,False,False,0.0,False,0.0,0.0,False,W,to_renovate,88085.67,50.42,4.45,0.0
104,456,6,1070,True,APARTMENT_BLOCK,519000.0,4.0,190.0,True,False,False,True,49.0,False,0.0,0.0,False,B,good,138887.74,50.84,4.31,0.0
105,457,6,1030,True,APARTMENT_BLOCK,818000.0,5.0,305.0,False,False,False,False,0.0,False,0.0,0.0,False,B,good,175825.22,50.87,4.37,0.0
106,460,6,1030,True,APARTMENT_BLOCK,750000.0,7.0,425.0,True,False,False,False,0.0,False,0.0,378.0,False,B,good,175825.22,50.87,4.37,0.0
